팀명,1,2,3,4,5,6,7,8,9,10,11,12,R,H,E
한화,0,0,1,0,1,0,0,1,1,,,,4,12,1
두산,0,0,0,2,0,1,0,2,-,,,,5,6,0
kt,2,0,0,2,0,0,0,0,0,,,,4,9,1
SK,3,0,0,1,0,0,2,1,-,,,,7,8,1
LG,0,0,0,0,1,0,0,1,0,,,,2,8,0
KIA,0,0,0,0,0,0,0,0,0,,,,0,3,0
삼성,0,0,0,0,0,0,0,0,0,,,,0,4,1
NC,4,2,0,1,0,0,0,0,-,,,,7,8,2
키움,0,0,3,0,2,0,1,1,0,,,,7,14,2
롯데,0,0,1,0,3,0,0,0,0,,,,4,7,3
한화,2,0,0,0,0,0,4,5,0,,,,11,9,0
두산,0,0,0,0,0,0,0,0,1,,,,1,3,3
kt,0,0,0,0,0,3,0,0,0,,,,3,7,1
SK,0,0,2,0,0,0,0,4,-,,,,6,9,0
LG,3,4,1,0,0,0,1,0,0,,,,9,12,1
KIA,0,0,0,0,0,3,0,0,0,,,,3,9,3
삼성,0,0,0,0,1,0,2,1,0,,,,4,5,2
NC,0,0,0,0,2,1,0,0,0,,,,3,8,2
키움,0,0,0,1,0,1,0,0,0,,,,2,6,1
롯데,0,0,1,0,1,2,2,0,-,,,,6,9,1
한화,0,2,4,2,0,0,4,0,1,,,,13,16,2
KIA,0,0,5,0,0,0,0,2,0,,,,7,8,0
kt,0,0,3,0,0,2,0,0,2,0,1,8,13,5,
NC,1,2,3,0,1,0,0,0,0,0,2,9,12,2,
LG,0,1,3,0,0,0,0,2,0,,,,6,5,0
SK,1,1,0,1,0,0,0,0,0,,,,3,8,1
삼성,0,0,0,0,0,0,0,0,2,,,,2,4,3
롯데,0,0,3,0,0,0,4,0,-,,,,7,9,0
키움,0,0,0,0,1,0,0,1,0,,,,2,6,0
두산,0,0,0,0,0,1,6,0,-,,,,7,7,0
한화,0,0,0,2,0,1,0,0,1,,,,4,9,0
KIA,4,0,0,0,3,1,0,1,-,,,,9,13,1
kt,0,0,0,0,0,1,0,0,0,,,,1,8,0
NC,0,0,2,0,0,2,0,0,-,,,,4,6,1
LG,0,0,0,0,0,0,0,1,0,0,0,1,9,1,
SK,0,1,0,0,0,0,0,0,0,0,1,2,5,1,
삼성,0,0,6,1,3,1,2,10,0,,,,23,24,0
롯데,1,0,2,1,0,0,0,0,0,,,,4,8,1
키움,0,0,0,0,2,0,0,0,0,0,2,6,0,,
두산,0,0,0,2,0,0,0,0,0,1,3,12,0,,
한화,0,0,0,2,0,0,2,0,0,,,,4,5,0
KIA,3,0,1,0,0,0,0,2,-,,,,6,9,0
kt,1,0,1,0,0,0,0,0,0,,,,2,11,0
NC,0,2,0,2,0,1,0,1,-,,,,6,9,0
LG,1,0,0,0,0,0,0,0,0,,,,1,2,0
SK,0,1,0,0,0,0,0,0,2,,,,3,4,0
삼성,4,0,2,0,1,0,2,0,3,,,,12,12,1
롯데,0,0,0,0,4,0,0,2,1,,,,7,11,3
키움,0,0,2,0,1,0,0,0,2,,,,5,9,0
두산,4,0,0,0,0,0,0,0,0,,,,4,9,0
KIA,0,0,0,3,0,0,0,0,0,,,,3,7,0
kt,0,1,0,1,3,1,0,0,-,,,,6,15,0
롯데,0,0,1,0,0,0,0,0,0,,,,1,6,0
LG,0,0,0,0,0,2,0,0,-,,,,2,6,0
