선수명,팀명,이닝,K/9,BB/9,HR/9,LOB%,RA9-WAR,WAR,K/BB,ERA,FIP,kFIP,WHIP,oAVG,oOBP,oSLG,oOPS
소사,LG,565.2,7.02,-1.65,-0.62,66.6,17.45,18.24,4.24,-4.22,-3.74,-3.64,-1.31,-0.285,-0.319,-0.41,-0.728
켈리,SK,548.2,8.23,-2.49,-0.8,72.5,19.14,16.69,3.3,-3.77,-4.1,-3.91,-1.3,-0.264,-0.321,-0.39,-0.711
헥터*,KIA,582.1,6.57,-2.04,-0.82,72.1,19.55,14.82,3.22,-3.79,-4.25,-4.22,-1.33,-0.281,-0.322,-0.401,-0.723
양현종,KIA,578,7.1,-2.57,-0.89,72.1,19.25,14.51,2.76,-3.75,-4.36,-4.29,-1.32,-0.27,-0.321,-0.394,-0.715
레일리,롯데,550.1,7.87,-2.44,-1.05,70.1,15.25,12.62,3.23,-4.28,-4.63,-4.51,-1.34,-0.274,-0.333,-0.424,-0.758
니퍼트,KT,523,8.04,-2.98,-1.05,76.7,18.86,12.6,2.7,-3.77,-4.66,-4.52,-1.35,-0.266,-0.331,-0.412,-0.743
피어밴드,KT,505.1,7.43,-2.08,-1.19,74,15.67,10.98,3.56,-3.95,-4.69,-4.58,-1.36,-0.287,-0.332,-0.438,-0.77
린드블럼,롯데,418.2,8.19,-2.86,-1.16,75,14.96,10.03,2.86,-4.04,-4.73,-4.57,-1.29,-0.254,-0.317,-0.417,-0.734
차우찬,삼성,498,7.46,-3.29,-1.14,69.6,13.45,8.92,2.27,-4.73,-5.01,-4.95,-1.4,-0.269,-0.337,-0.43,-0.767
고영표,KT,340,8.5,-1.59,-0.95,64.8,7.26,8.69,5.35,-5.21,-4.17,-3.94,-1.38,-0.3,-0.347,-0.441,-0.788
최원태,Hero,344.2,7.02,-2.4,-0.86,69.5,8.9,7.8,2.92,-4.75,-4.52,-4.5,-1.41,-0.289,-0.344,-0.414,-0.758
이재학,NC,399,8.28,-3.25,-1.22,68,8.29,7.61,2.55,-4.98,-4.99,-4.85,-1.46,-0.279,-0.349,-0.428,-0.776
장원준,두산,420,6.6,-3.43,-0.81,71.5,12.74,7.27,1.92,-4.37,-4.87,-4.94,-1.41,-0.27,-0.346,-0.391,-0.737
해커,Hero,380.2,6.43,-2.13,-1.04,75,13.91,7.23,3.02,-3.81,-4.79,-4.82,-1.23,-0.259,-0.314,-0.39,-0.704
유희관,두산,515.1,5.05,-2.46,-1.14,69.4,12.17,6.17,2.05,-5.08,-5.24,-5.43,-1.51,-0.308,-0.354,-0.468,-0.822
함덕주,두산,213,9.34,-4.73,-0.51,75.5,9.59,6,1.97,-3.55,-4.05,-3.82,-1.45,-0.245,-0.342,-0.343,-0.685
박종훈,SK,450.2,6.87,-4.11,-0.98,71,11.13,5.46,1.67,-4.61,-5.49,-5.61,-1.44,-0.259,-0.359,-0.399,-0.758
박세웅,롯데,359.1,7.26,-3.68,-1.2,69.2,7.52,5.4,1.97,-5.33,-5.28,-5.27,-1.56,-0.292,-0.364,-0.457,-0.821
윤성환,삼성,471.2,5.8,-2.1,-1.43,70.3,10.89,5.06,2.76,-4.98,-5.5,-5.61,-1.39,-0.295,-0.343,-0.48,-0.823
백정현,삼성,295,8.24,-3.11,-1.16,71.2,7.72,4.96,2.65,-4.79,-4.77,-4.61,-1.45,-0.28,-0.342,-0.442,-0.784
우규민,삼성,323.2,6.37,-1.97,-1.14,65.6,5.55,4.66,3.23,-4.92,-5.01,-5.06,-1.45,-0.305,-0.356,-0.459,-0.815
임찬규,LG,318,7.81,-3.51,-1.16,68.7,5.85,4.56,2.23,-5.43,-5.28,-5.25,-1.57,-0.297,-0.375,-0.454,-0.829
신재영,Hero,395,5.17,-1.59,-1.46,71.8,9.67,4.38,3.24,-4.83,-5.51,-5.67,-1.35,-0.293,-0.334,-0.487,-0.821
이용찬*,두산,222.1,6.64,-2.55,-0.77,73.9,8.22,4.19,2.6,-3.85,-4.39,-4.4,-1.37,-0.278,-0.332,-0.396,-0.729
구창모,NC,316.2,8.55,-3.95,-1.36,71.1,6.28,3.95,2.17,-5.09,-5.3,-5.14,-1.57,-0.286,-0.363,-0.456,-0.819
송승준,롯데,250.2,7.76,-3.48,-1.18,66.1,4.36,3.76,2.23,-5.57,-5.04,-4.96,-1.53,-0.288,-0.354,-0.462,-0.816
