"","x"
"1",1
"2",1
"3",2
"4",2
"5",2
"6",1
"7",4
"8",3
"9",1
"10",2
"11",1
"12",1
"13",1
"14",2
"15",2
"16",5
"17",3
"18",2
"19",1
"20",4
"21",1
"22",1
"23",2
"24",2
"25",1
"26",1
"27",3
"28",1
"29",7
"30",1
"31",1
"32",1
"33",1
"34",1
"35",1
"36",2
"37",1
"38",2
"39",1
"40",1
"41",1
"42",2
"43",1
"44",3
"45",2
"46",2
"47",2
"48",2
"49",2
"50",1
"51",0
"52",1
"53",3
"54",3
"55",2
"56",1
"57",4
"58",1
"59",1
"60",1
"61",2
"62",1
"63",1
"64",1
"65",5
"66",1
"67",1
"68",2
"69",1
"70",4
"71",3
"72",2
"73",3
"74",1
"75",3
"76",4
"77",1
"78",1
"79",1
"80",1
"81",1
"82",1
"83",3
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",4
"92",2
"93",8
"94",1
